CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
60,3758.51492,8687.5325,2211.911851,5496.720185,14097.64498,4954.612907,6252.378167,12626.67225,4959.921319,6749.845321,5595.590627,5080.468622,6592.834047,14922.24372,12424.40066,6865.598566,7077.652561,5627.697411,3302.863617,12166.91492,12166.91492,6063.76402,28251,28251,31914
61,3806.406805,8735.424386,2259.803736,5544.61207,14145.53687,5002.504792,6300.270053,12674.56414,5007.813204,6797.737207,5643.482512,5128.360507,6640.725933,14970.1356,12472.29254,6913.490451,7125.544446,5675.589296,3350.755502,12214.8068,12214.8068,6111.655905,28251,28251,31914
62,3854.29869,8783.316271,2307.695621,5592.503956,14193.42875,5050.396677,6348.161938,12722.45603,5055.705089,6845.629092,5691.374398,5176.252392,6688.617818,15018.02749,12520.18443,6961.382336,7173.436331,5723.481181,3398.647388,12262.69869,12262.69869,6159.54779,28251,28251,31914
63,3902.190576,8831.208156,2355.587507,5640.395841,14241.32064,5098.288563,6396.053824,12770.34791,5103.596975,6893.520978,5739.266283,5224.144278,6736.509704,15065.91937,12568.07631,7009.274222,7221.328217,5771.373067,3446.539273,12310.59058,12310.59058,6207.439676,28251,28251,31914
64,3950.082461,8879.100042,2403.479392,5688.287727,14289.21252,5146.180448,6443.945709,12818.2398,5151.48886,6941.412863,5787.158168,5272.036163,6784.401589,15113.81126,12615.9682,7057.166107,7269.220102,5819.264952,3494.431158,12358.48246,12358.48246,6255.331561,28251,28251,31914
65,3997.974347,8926.991927,2451.371278,5736.179612,14337.10441,5194.072334,6491.837595,12866.13168,5199.380746,6989.304748,5835.050054,5319.928049,6832.293475,15161.70314,12663.86008,7105.057993,7317.111988,5867.156838,3542.323044,12406.37435,12406.37435,6303.223447,28251,28251,31914
66,4045.866232,8974.883813,2499.263163,5784.071497,14384.99629,5241.964219,6539.72948,12914.02357,5247.272631,7037.196634,5882.941939,5367.819934,6880.18536,15209.59503,12711.75197,7152.949878,7365.003873,5915.048723,3590.214929,12454.26623,12454.26623,6351.115332,28251,28251,31914
67,4093.758118,9022.775698,2547.155049,5831.963383,14432.88818,5289.856105,6587.621365,12961.91545,5295.164517,7085.088519,5930.833825,5415.71182,6928.077245,15257.48691,12759.64386,7200.841764,7412.895759,5962.940609,3638.106815,12502.15812,12502.15812,6399.007218,28251,28251,31914
68,4141.650003,9070.667584,2595.046934,5879.855268,14480.78006,5337.74799,6635.513251,13009.80734,5343.056402,7132.980405,5978.72571,5463.603705,6975.969131,15305.3788,12807.53574,7248.733649,7460.787644,6010.832494,3685.9987,12550.05,12550.05,6446.899103,28251,28251,31914
69,4189.541888,9118.559469,2642.938819,5927.747154,14528.67195,5385.639875,6683.405136,13057.69922,5390.948287,7180.87229,6026.617596,5511.49559,7023.861016,15353.27068,12855.42763,7296.625534,7508.679529,6058.724379,3733.890586,12597.94189,12597.94189,6494.790988,28251,28251,31914
70,4237.433774,9166.451354,2690.830705,5975.639039,14576.56383,5433.531761,6731.297022,13105.59111,5438.840173,7228.764176,6074.509481,5559.387476,7071.752902,15401.16257,12903.31951,7344.51742,7556.571415,6106.616265,3781.782471,12645.83377,12645.83377,6542.682874,28251,28251,31914
71,4285.325659,9214.34324,2738.72259,6023.530925,14624.45572,5481.423646,6779.188907,13153.48299,5486.732058,7276.656061,6122.401366,5607.279361,7119.644787,15449.05446,12951.2114,7392.409305,7604.4633,6154.50815,3829.674356,12693.72566,12693.72566,6590.574759,28251,28251,31914
72,4333.217545,9262.235125,2786.614476,6071.42281,14672.34761,5529.315532,6827.080793,13201.37488,5534.623944,7324.547946,6170.293252,5655.171247,7167.536673,15496.94634,12999.10328,7440.301191,7652.355186,6202.400036,3877.566242,12741.61754,12741.61754,6638.466645,28251,28251,31914
73,4381.10943,9310.127011,2834.506361,6119.314695,14720.23949,5577.207417,6874.972678,13249.26677,5582.515829,7372.439832,6218.185137,5703.063132,7215.428558,15544.83823,13046.99517,7488.193076,7700.247071,6250.291921,3925.458127,12789.50943,12789.50943,6686.35853,28251,28251,31914
74,4429.001316,9358.018896,2882.398247,6167.206581,14768.13138,5625.099303,6922.864563,13297.15865,5630.407715,7420.331717,6266.077023,5750.955018,7263.320443,15592.73011,13094.88705,7536.084962,7748.138957,6298.183807,3973.350013,12837.40132,12837.40132,6734.250416,28251,28251,31914
75,4476.893201,9405.910782,2930.290132,6215.098466,14816.02326,5672.991188,6970.756449,13345.05054,5678.2996,7468.223603,6313.968908,5798.846903,7311.212329,15640.622,13142.77894,7583.976847,7796.030842,6346.075692,4021.241898,12885.2932,12885.2932,6782.142301,28251,28251,31914
76,4524.785086,9453.802667,2978.182017,6262.990352,14863.91515,5720.883073,7018.648334,13392.94242,5726.191485,7516.115488,6361.860794,5846.738788,7359.104214,15688.51388,13190.67082,7631.868732,7843.922727,6393.967577,4069.133784,12933.18509,12933.18509,6830.034186,28251,28251,31914
77,4572.676972,9501.694552,3026.073903,6310.882237,14911.80703,5768.774959,7066.54022,13440.83431,5774.083371,7564.007374,6409.752679,5894.630674,7406.9961,15736.40577,13238.56271,7679.760618,7891.814613,6441.859463,4117.025669,12981.07697,12981.07697,6877.926072,28251,28251,31914
78,4620.568857,9549.586438,3073.965788,6358.774123,14959.69892,5816.666844,7114.432105,13488.72619,5821.975256,7611.899259,6457.644564,5942.522559,7454.887985,15784.29765,13286.4546,7727.652503,7939.706498,6489.751348,4164.917555,13028.96886,13028.96886,6925.817957,28251,28251,31914
